song,artist,genre,energy,danceability,loudness
mohabbat bhi jhoothi,mukesh,Pop,0.1371101880258922,0.3577385465179248,0.4541189139296976
i believe,frankie laine,Pop,0.2632402533492537,0.3317448283331528,0.64753993282568
cry,johnnie ray,Pop,0.1391122525548345,0.4562980613018521,0.585288311155552
patricia,pérez prado,Pop,0.7437357402953926,0.6869923101917037,0.7444042765941081
apopse eida oneiro,giorgos papadopoulos,Pop,0.3943754799949707,0.2916711794649627,0.6464887316360279
round and round (with mitchell ayres and his orchestra & the ray charles singers),perry como,Pop,0.5495354809879948,0.689158453373768,0.6855882880804041
opm medley: when i met you,freestyle,Pop,0.486470448326314,0.3685692624282465,0.63369484398636
it's not for me to say,johnny mathis,Pop,0.192166962571804,0.3793999783385682,0.529420813783555
klapse me mana klapse me,stélios kazantzídis,Pop,0.4003816735817975,0.4963717101700423,0.6661795246519497
finito la mouzika,stélios kazantzídis,Pop,0.413395093019922,0.6620816635979638,0.6431300156398225
"drømmer man om den, vågner..",liva weel,Pop,0.3403197377135301,0.6252572295028702,0.5331128374740404
carolina moon,the chordettes,Pop,0.1110833491496431,0.2656774612801906,0.6222598261672179
necessary evil,frankie laine,Pop,0.1531267042574302,0.5223654283548144,0.528728559341589
kanugona galano,ghantasala,Pop,0.6025901910049642,0.4692949203942381,0.7456605902110094
the carioca,les paul,Pop,0.6426314815838092,0.5505252897216506,0.6824090454580416
chicken reel,les paul,Pop,0.5215065775828034,0.6360879454131919,0.6403353588185523
blue skies,les paul,Pop,0.2842619309031472,0.6350048738221598,0.6048765479578493
dark eyes,les paul,Pop,0.2912691567544451,0.6025127260911947,0.5772376483860215
kotha mukunda,asha bhosle,Pop,0.2882660599610318,0.3793999783385682,0.5420608671127861
awaz deta hai sola ka din,asha bhosle,Pop,0.2402165112664178,0.4996209249431388,0.6737430454067636
jahan men log sachhe ashikon ko,mohammed rafi,Pop,0.2522288984400713,0.5407776454023612,0.6615132169320308
avanee nee pathi,ghantasala,Pop,0.3433228345069434,0.3631539044730857,0.4717329436197215
ee jagamantha natika,ghantasala,Pop,0.3993806413173263,0.4400519874363695,0.6060046663077199
smoke rings,les paul,Pop,0.3763568992344905,0.4324704862991444,0.6653077968361407
hum tujhse mohabbat kar ke,mukesh,Pop,0.1991741884231018,0.701072240875122,0.7070738148347562
paas nahin aaiye haath na lagaiye,lata mangeshkar,Pop,0.5415272228722259,0.4487165601646269,0.6552316488475245
main na janoon,lata mangeshkar,Pop,0.3353145763911745,0.6100942272284199,0.6140296900238442
gullyachi shapath,asha bhosle,Pop,0.4524353513342958,0.7768872522473736,0.6233366664102761
judai ki khabar hoti agar,lata mangeshkar,Pop,0.1821566399270928,0.4357197010722409,0.5248057841704483
maagata maagata janm gele,lata mangeshkar,Pop,0.2842619309031472,0.3848153362937291,0.5545727251749865
chupke chupke (from ''paying guest''),lata mangeshkar,Pop,0.4914756096486696,0.5862666522257122,0.7371997025869804
chahe kitna mujhe tum bulao ji,asha bhosle,Pop,0.2051803820099286,0.5418607169933933,0.564341204522729
tu bol na bol,asha bhosle,Pop,0.5044890290867943,0.5104516408534604,0.6260031279645155
raat andheri door savera,mukesh,Pop,0.1501236074640168,0.4898732806238492,0.3858933928159372
